code,stadt,bundesland,behoerde_name,plz,ort,strasse,telefon,email
16061-,Eichsfeld,TH,LK Eichsfeld,37308,Heilbad Heiligenstadt,Friedensplatz 8,03606-650-3621,zulassungsstelle@kreis-eic.de
09176-,Eichstätt,BY,LRA Eichstätt Hauptstelle,85072,Eichstätt,Gundekarstraße 3,08421-70-4003,zulassung@lra-ei.bayern.de
03155-e1,Einbeck,NI,LK Northeim Nebenstelle,37574,Einbeck,Hullerser Str. 19,05551-708-8234,zulassungsbehoerde@landkreis-northeim.de
16063-e1,Eisenach,TH,LRA Wartburgkreis Nebenstelle,99817,Eisenach,Ernst-Thälmann-Str. 74,03695-61-6152,strassenverkehr@wartburgkreis.de
07333-e1,Eisenberg,RP,LK Donnersbergkreis Nebenstelle,67304,Eisenberg,Hauptstr. 86,06351-407-401,info@eisenberg.de
16074-,Eisenberg,TH,LRA Saale-Holzland-Kreis,07607,Eisenberg,Claußstraße 3,036691-70-0,ordnung@lrashk.thueringen.de
08136-e2,Ellwangen,BW,LRA Ostalbkreis Nebenstelle,73479,Ellwangen (Jagst),Sebastiansgraben 34,07961-567-3251,zulassungsstelle@ostalbkreis.de
01053-,Elmenhorst,SH,LK Herzogtum Lauenburg,21493,Elmenhorst OT Lanken,Kesselflickerstr. 2,04151-8673-0,strassenverkehr@kreis-rz.de
03402-,Emden,NI,Stadt Emden,26721,Emden,Frickensteinplatz 2,04921-87-0,433@emden.de
08316-,Emmendingen,BW,LRA Emmendingen,79312,Emmendingen,Schwarzwaldstr. 4,07641-451-9500,zulassungsstelle@landkreis-emmendingen.de
06437-,Erbach,HE,LK Odenwaldkreis,64711,Erbach,Michelstädter Str. 12,06062-6014-5600,kfz-zulassungsbehoerde@odenwaldkreis.de
09177-,Erding,BY,LRA Erding,85435,Erding,Alois-Schießl-Platz 2,08122-58-0,zulassung@lra-ed.bayern.de
16051-,Erfurt(Stadt),TH,Stadt Erfurt,99084,Erfurt,Bürgermeister-Wagner-Str. 1,0361-655-7854,buergeramt@erfurt.de
09562-,Erlangen,BY,Stadt Erlangen,91052,Erlangen,Rathausplatz 1,09131-86-1616,kfz-zulasssung@stadt.erlangen.de
09572-,Erlangen-Höchstadt,BY,LRA Erlangen-Höchstadt,91052,Erlangen,Nägelsbachstr. 1,09131-803-2614,zulassung@erlangen-hoechstadt.de
09374-e1,Eschenbach i.d. OPf.,BY,LRA Neustadt a.d.Waldnaab Nebenstelle,92676,Eschenbach i.d.Opf.,Karlsplatz 29,09645-914-162,verkehrswesenesb@lra-new.bayern.de
06636-,Eschwege,HE,LK Werra-Meißner-Kreis,37269,Eschwege,Bahnhofstr. 15,05651-302-3500,zulassungsstelle@werra-meissner-kreis.de
05113-,Essen,NW,Stadt Essen,45143,Essen,Altendorfer Str. 101,0201-88-33999,kfz@einwohneramt.essen.de
08116-,Esslingen a. N.,BW,LK Esslingen,73728,Esslingen a.Neckar,Pulverwiesen 11,0711 3902-48330,strassenverkehrsamt@lra-es.de
08215-e3,Ettlingen,BW,LRA Karlsruhe Nebenstelle,76275,Ettlingen,Am Lindscharren 4-6,07243-7252-93,kfz.zulassung@landratsamt-karlsruhe.de
05366-,Euskirchen,NW,LK Euskirchen,53879,Euskirchen,Jülicher Ring 32,02251-15-280,sva@kreis-euskirchen.de
01055-,Eutin,SH,LK Ostholstein,23701,Eutin,Bürgermeister-Steenbock-Str.20,04521-788-800,kfz-zulassung@kreis-oh.de
09180-,Farchant,BY,LRA Garmisch-Partenkirchen,82490,Farchant,Partenkirchner Str. 52,08821-751-356,zulassung@lra-gap.bayern.de
09571-e2,Feuchtwangen,BY,LRA Ansbach Nebenstelle,91555,Feuchtwangen,Jahnstr. 6,09852-9946,zulassung@lra-an.bayern.de
12062-e1,Finsterwalde,BB,LK Elbe-Elster Nebenstelle,03238,Finsterwalde,Kirchhainer Str. 38a,03531-502-6715,stva@lkee.de
01059-e1,Flensburg,SH,LK Schleswig-Flensburg Nebenstelle,24941,Flensburg,Gutenbergstr. 23,0461-8115-0,zulassungfl@schleswig-flensburg.de
01001-,Flensburg,SH,Stadt Flensburg,24941,Flensburg,Gutenbergstr. 23,0461-8115-0,zulassungfl@schleswig-flensburg.de
09474-,Forchheim,BY,LRA Forchheim,91301,Forchheim,Am Streckerplatz 3,09191-86-3230,poststelle@lra-fo.bayern.de
06635-e4,Frankenberg,HE,LK Waldeck-Frankenberg Nebenstelle,35055,Frankenberg (Eder),Bahnhofstr. 8-12,06451-743-611,verkehr@landkreis-waldeck-frankenberg.de
07311-,Frankenthal,RP,Stadt Frankenthal,67227,Frankenthal (Pfalz),Hammstraße 20,06233-89-331,zulassung@frankenthal.de
06412-,Frankfurt am Main,HE,Stadt Frankfurt am Main,60486,Frankfurt am Main,Am Römerhof 19,069-212-42750,kfz-zulassung@stadt-frankfurt.de
12053-,Frankfurt(Oder),BB,Stadt Frankfurt (Oder),15234,Frankfurt (Oder),Göpelstr. 38,0335-552-313-0,kfz-zulassungsbehoerde@frankfurt-oder.de
14522-,Freiberg,SN,LK Mittelsachsen,09599,Freiberg,Frauensteiner Straße 43,03731-799-3642,kfz.zulassung@landkreis-mittelsachsen.de
08315-,Freiburg,BW,LRA Breisgau-Hochschwarzwald,79104,Freiburg (Breisgau),Stadtstr. 2,07612187-6313,kfzzulassung@lkbh.de
08311-,Freiburg i.Br.,BW,Stadt Freiburg,79106,Freiburg (Breisgau),Fehrenbachallee 12,0761-201-5660,bs-kfz@stadt.freiburg.de
09178-,Freising,BY,LRA Freising,85356,Freising,Landshuter Str.,08161-600 333 50,info-zulassung@lra-fs.bayern.de
14628-e1,Freital,SN,LK Sächsische Schweiz-Osterzgebirge Nebenstelle,01705,Freital,Hüttenstr. 14,0351-648-5301,kfz-zulassung@landratsamt-pirna.de
08237-,Freudenstadt,BW,LK Freudenstadt,72250,Freudenstadt,Herrenfelder Str. 14,07441-920-1777,kfz-zulassung@kreis-fds.de
09272-,Freyung-Grafenau,BY,LRA Freyung-Grafenau,94078,Freyung,Grafenauer Str. 44,08551-57-0,zulassung@landkreis-frg.de
06440-,Friedberg,HE,LK Wetteraukreis,61169,Friedberg,Europaplatz,06031-83-2166,zulassung@wetteraukreis.de
09771-e1,Friedberg,BY,LRA Aichach-Friedberg Nebenstelle,86316,Friedberg,Ludwigstr. 39,08251-92-451,zulassungsbehoerde.friedberg@lra-aic-fdb.bayern.de
06634-e1,Fritzlar,HE,LK Schwalm-Eder-Kreis Nebenstelle,34560,Fritzlar,Brautäcker 3,05622-930-470,stadt@fritzlar.de
06631-,Fulda,HE,LK Fulda,36043,Fulda,Kreuzbergstr. 42 b,0661-6006-1100,zulassungsbehoerde@landkreis-fulda.de
03459-e2,Fürstenau,NI,LK Osnabrück Nebenstelle,49584,Fürstenau,Schloßplatz 1,05901-9320-21,buergerbuero@fuerstenau.de
09179-,Fürstenfeldbruck,BY,LRA Fürstenfeldbruck,82256,Fürstenfeldbruck,Münchner Straße 32,08141-519-799,kfz-zulassung@lra-ffb.bayern.de
09573-,Fürth(Land),BY,LRA Fürth,90513,Zirndorf,Im Pinderpark 2,0911-9773-1344,kfz-zulassung@lra-fue.bayern.de
09563-,Fürth(Stadt),BY,Stadt Fürth,90763,Fürth,Schwabacher Str. 170,0911-974-2276,zulassungsbehoerde@fuerth.de
09777-e1,Füssen,BY,LRA Ostallgäu Nebenstelle,87629,Füssen,Herzogstr. 3,08362-93874-0,buergerservice@lra-oal.bayern.de
08216-e2,Gaggenau,BW,LRA Rastatt Nebenstelle,76571,Gaggenau,Hauptstr. 71,07222-381-3220,amt32-kfz@landkreis-rastatt.de
08117-e1,Geislingen/Steige,BW,LRA Göppingen Nebenstelle,73312,Geislingen,Schillerstr. 2,07331-304-301,zulassung@lkgp.de
05154-e1,Geldern,NW,LK Kleve Nebenstelle,47608,Geldern,Boeckelter Weg 2,02821-85-521,strassenverkehr@kreis-kleve.de
05513-,Gelsenkirchen,NW,Stadt Gelsenkirchen,45879,Gelsenkirchen,Wildenbruchstr. 10,0209-169-9595,fahrzeugzulassungen@gelsenkirchen.de
03459-e3,Georgsmarienhütte,NI,LK Osnabrück Nebenstelle,49124,Georgsmarienhütte,Oeseder Str. 79,05401-850-330,zulassungsstelle@lkos.de
16052-,Gera,TH,Stadt Gera,07548,Gera,Wiesestr. 125,0365-838-2450,kfz-zulassung@gera.de
08118-e2,Gerlingen,BW,LRA Ludwigsburg Nebenstelle,70839,Gerlingen,Schillerstr. 63,07141-144-2069,KFZ.GERLINGEN@landkreis-ludwigsburg.de
07334-,Germersheim,RP,LK Germersheim,76726,Germersheim,17er Straße 1,07274-53-329,fb42-kfz@kreis-germersheim.de
09772-,Gersthofen,BY,LRA Augsburg,86368,Gersthofen,Tiefenbacherstr. 8,0821-3102-3335,kfz-zulassung@lra-a.bayern.de
06531-,Gießen,HE,LK Gießen,35398,Gießen,Bachweg 9,0641-9390-3574,zulassung@lkgi.de
03151-,Gifhorn,NI,LK Gifhorn,38518,Gifhorn,Schlossplatz 1,05371-82-370,verkehrsamt@gifhorn.de
14524-,Glauchau,SN,LK Zwickau,08371,Glauchau,Scherbergplatz 4,0375-4402-0,kfz@landkreis-zwickau.de
08117-,Göppingen,BW,LRA Göppingen,73033,Göppingen,Lorcher Str. 6,07161-202-5262,zulassung@lkgp.de
14626-,Görlitz,SN,LK Görlitz,02826,Görlitz,Bahnhofstr. 24,03581-663-5240,zulassungsbehoerde@kreis-gr.de
03153-,Goslar,NI,LK Goslar,38644,Goslar,Stapelner Str. 8,05321-376-991,zulassung@landkreis-goslar.de
16067-,Gotha,TH,LRA Gotha,99867,Gotha,18.-März-Str. 50,03621-214-593,stva@kreis-gth.de
03159-1,Göttingen (Stadt),NI,Stadt Göttingen,37083,Göttingen,Hiroshimaplatz 1-4,0551-400-0,zulassungsbehoerde@goettingen.de
03159-e2,Göttingen(Land),NI,LK Göttingen Nebenstelle,37083,Göttingen,Reinhäuser Landstr. 4,0551-525-214,zulassungsbehoerde@landkreisgoettingen.de
09272-e1,Grafenau,BY,LRA Freyung-Grafenau Nebenstelle,94481,Grafenau,Rathausgasse 1,08551-57 0,zulassung@landkreis-frg.de
15091-e1,Gräfenhainichen,ST,LK Wittenberg Nebenstelle,06773,Gräfenhainichen,Karl-Liebknecht-Str. 12,03491-479-500,strassenverkehrsamt@landkreis.wittenberg.de
09184-,Grasbrunn-Neukeferloh,BY,LRA München,85630,Grasbrunn-Neukeferloh,Bretonischer Ring 1,089-6221-3000,kfz-zulassung@lra-m.bayern.de
13075-2,Greifswald,MV,Hansestadt Greifswald,17489,Greifswald,Markt 15,03834-85364-121,verkehrsabteilung@greifswald.de
16076-,Greiz,TH,LK Greiz,07570,Weida,Am Schafberge 5,036603-255-20,ordnungsamt@landkreis-greiz.de
05162-e2,Grevenbroich,NW,LK Rhein-Kreis Neuss Nebenstelle,41515,Grevenbroich,Lindenstr. 10,02181-601-9090,strassenverkehrsamt@rhein-kreis-neuss.de
13074-,Grevesmühlen,MV,LK Nordwestmecklenburg,23936,Grevesmühlen,Langer Steinschlag 4,03841-3040-3616,kfz-zulassung@nordwestmecklenburg.de
14729-e1,Grimma,SN,LK Leipzig Nebenstelle,04668,Grimma,Karl-Marx-Str. 22,03433-241 2056,zulassung@lk-l.de
13073-,Grimmen,MV,LK Vorpommern-Rügen,18507,Grimmen,Bahnhofstr. 12/13,03831-357-1000,FD45@lk-vr.de
06433-,Groß-Gerau,HE,LK Groß-Gerau,64521,Groß-Gerau,Wilhelm-Seipp-Str. 4,06152-989 789,zulgg@kreisgg.de
06432-e3,Groß-Umstadt,HE,LK Darmstadt-Dieburg Nebenstelle,64823,Groß-Umstadt,Saint-Péray-Str. 11,06078-781-350,kfz-zulassung@ladadi.de
07332-e1,Grünstadt,RP,LK Bad Dürkheim Nebenstelle,67269,Grünstadt,Industriestr. 11,06322-961-3300,info@kreis-bad-duerkheim.de
05374-,Gummersbach,NW,LK Oberbergischer Kreis,51645,Gummersbach,Kölner Str. 235,02261-88-3633,amt36@obk.de
09774-,Günzburg,BY,LRA Günzburg,89312,Günzburg,Dillinger Straße 21,08221-95-0,info@lra-gz.bayern.de
09577-e1,Gunzenhausen,BY,LRA Weißenburg-Gunzenhausen Nebenstelle,91710,Gunzenhausen,Sonnenstr. 37b,09831-3673,zulassung.lra@lra-wug.bayern.de
13072-,Güstrow,MV,LK Rostock,18273,Güstrow,Am Wall 3-5,03843-75565-500,Info-kfz@lkros.de
05754-,Gütersloh,NW,LK Gütersloh,33334,Gütersloh,Herzebrocker Str. 140,05241-85-1200,abt22@kreis-guetersloh.de
07143-e1,Hachenburg,RP,LK Westerwaldkreis Nebenstelle,57627,Hachenburg,Gartenstr. 11,02662-801-0,info@hachenburg-vg.de
05914-,Hagen,NW,Stadt Hagen,58119,Hagen,Freiheitstr. 3,02331-207-3008,ordnungsamt@stadt-hagen.de
13076-e2,Hagenow,MV,LK Ludwigslust-Parchim Nebenstelle,19230,Hagenow,Lange Str. 28-32,03871-115,Buergerservice@kreis-lup.de
15085-,Halberstadt,ST,LK Harz,38820,Halberstadt,Friedrich-Ebert-Str. 42,03941-5970-4288,zulassung@kreis-hz.de
15083-,Haldensleben,ST,LK Börde,39340,Haldensleben,Bornsche Straße 2,03904-7240-3650,strassenverkehr@landkreis-boerde.de
15002-,Halle,ST,Stadt Halle (Saale),06122,Halle (Saale),Am Stadion 6,0345-221-1387,zulassungsbehoerde@halle.de
02000-,Hamburg,HH,Landesbetrieb Verkehr (LBV) Nebenstelle,22525,Hamburg,Schnackenburgallee 43,040-42858 3200,kfz-zulassung@lbv.hamburg.de
02000-e1,Hamburg-Bergedorf,HH,Landesbetrieb Verkehr (LBV) Nebenstelle,21033,Hamburg,Bergedorfer Str. 74,040-42858-0,kfz-zulassung@lbv.hamburg.de
02000-e2,Hamburg-Harburg,HH,Landesbetrieb Verkehr (LBV) Nebenstelle,21079,Hamburg,Schellerdamm 5-7,040-42858-0,kfz-zulassung@lbv.hamburg.de
02000-e3,Hamburg-Mitte,HH,Landesbetrieb Verkehr (LBV) Nebenstelle,20537,Hamburg,Ausschläger Weg 100,040-42858-0,kfz-zulassung@lbv.hamburg.de
02000-e4,Hamburg-Nord,HH,Landesbetrieb Verkehr (LBV) Nebenstelle,22419,Hamburg,Langenhorner Chaussee 491,040-42858-0,kfz-zulassung@lbv.hamburg.de
03252-,Hameln-Pyrmont,NI,LK Hameln-Pyrmont,31789,Hameln,Fluthamelstr. 15,05151-903-2220,zulassung@hameln-pyrmont.de
05915-,Hamm,NW,Stadt Hamm Bürgeramt Bockum-Hövel,59075,Hamm,Teichweg 1,02381-17-9699,ba-bockum-hoevel@stadt.hamm.de
09672-e2,Hammelburg,BY,LRA Bad Kissingen Nebenstelle,97762,Hammelburg,Friedhofstr. 13,0971-801-9200,zulassung@kg.de
06435-e1,Hanau,HE,LRA Main-Kinzig-Kreis Nebenstelle,63452,Hanau,Dörnigheimer Str. 1,06181-292-22637,zulassung@mkk.de
06415-,Hanau,HE,Stadt Hanau,63450,Hanau,Amt Markt 14 - 18,06181 295 8135,Buergerservice@hanau.de
03241-1,Hannover,NI,Stadt Hannover,30169,Hannover,Am Schützenplatz 1,0511-168-44539,kfz-zulassungsbehoerde@hannover-stadt.de
03241-,Hannover,NI,Region Hannover,30169,Hannover,Hildesheimer Str. 20,0511-616-17444,teamkfz@region-hannover.de
03159-e3,Hannover-Münden,NI,LK Göttingen Nebenstelle,34346,Hann.Münden,Adalbert-Stifter-Str. 27,05541-8008,schaefer.j@landkreisgoettingen.de
03359-e2,Harsefeld,NI,LK Stade Nebenstelle,21698,Harsefeld,Herrenstr. 25,04164-887-0,strassenverkehrsamt@landkreis-stade.de
09674-,Haßfurt,BY,LRA Haßberge,97437,Haßfurt,Am Ziegelbrunn 36,09521-27-132,zulassung@lra-has.bayern.de
07332-e2,Haßloch,RP,LK Bad Dürkheim Nebenstelle,67454,Haßloch,Langgasse 64,06322-961-3300,info@kreis-bad-duerkheim.de
09275-e1,Hauzenberg,BY,LRA Passau Nebenstelle,94051,Hauzenberg,Bahnhofstr. 18,08586-979576,kfz-zulassung@lra-pa.bayern.de
12063-,Havelland,BB,LK Havelland,14712,Rathenow,Platz der Freiheit 1,03385-551-4606,kfz-zulassung@havelland.de
08417-e2,Hechingen,BW,LRA Zollernalbkreis Nebenstelle,72379,Hechingen,Heiligkreuzstr. 10,07471-93091285,zulassungsstelle@zollernalbkreis.de
08221-,Heidelberg,BW,Stadt Heidelberg,69124,Heidelberg,Pleikartsförster Str. 116,06221-584-3700,kfz-zulassungen@heidelberg.de
08135-,Heidenheim (Brenz),BW,LRA Heidenheim,89518,Heidenheim (Brenz),Felsenstr. 36,07321-321-0,kfz-zulassungsbehoerde@landkreis-heidenheim.de
08125-,Heilbronn(Land),BW,LRA Heilbronn,74072,Heilbronn,Lerchenstr. 40,07131-994 559,kfz-zulassung@landratsamt-heilbronn.de
08121-,Heilbronn(Stadt),BW,Stadt Heilbronn,74072,Heilbronn,Lerchenstr. 40,07131-563-636,kfz-zulassung@heilbronn.de
05370-,Heinsberg,NW,LK Heinsberg,52525,Heinsberg,Valkenburger Str. 45,02452-13-3611,kfz-zulassung@kreis-heinsberg.de
03154-,Helmstedt,NI,LK Helmstedt,38350,Helmstedt,Südstr. 10,05351-121-1000,kfz-zulassung@landkreis-helmstedt.de
06532-e2,Herborn-Burg,HE,LK Lahn-Dill-Kreis Nebenstelle,35745,Herborn-Burg,Junostr. 1f,06441-407-2501,kfz-zulassung@lahn-dill-kreis.de
05758-,Herford,NW,Kreis Herford,32278,Kirchlengern,Elsestr. 225,05223-988-3,zulassungsstelle@kreis-herford.de
07211-e1,Hermeskeil,RP,Stadt Trier Nebenstelle,54411,Hermeskeil,Langer Markt 17,06503-809-110,kfz-zulassung@trier.de
05916-,Herne,NW,Stadt Herne,44625,Herne,Südstr. 8,02323-16-2580,strassenverkehrsamt@herne.de
08115-e1,Herrenberg,BW,LRA Böblingen Nebenstelle,71083,Herrenberg,Berliner Str. 1,07032-9276-10,zulassung@lrabb.de
07338-e2,Heßheim,RP,LK Rhein-Pfalz-Kreis Nebenstelle,67258,Heßheim,Hauptstr. 14,06233-7707-0,info@vghessheim.de
16069-,Hildburghausen,TH,LRA Hildburghausen,98646,Hildburghausen,Wiesenstr. 18,03685-445-0,kfz-zulassung@lrahbn.thueringen.de
03254-,Hildesheim,NI,LK Hildesheim,31135,Hildesheim,Bavenstedter Str. 50,05121-309-0,zulassungsstelle@landkreishildesheim.de
09572-e1,Höchstadt a. d. Aisch,BY,LRA Erlangen-Höchstadt Nebenstelle,91315,Höchstadt a.d.Aisch,Schlossberg 10,09193-20-503,zulassung@erlangen-hoechstadt.de
06633-e2,Hofgeismar,HE,LK Kassel Nebenstelle,34369,Hofgeismar,Garnisonstr. 6,0561-115,Kfz-zulassung-hofgeismar@kassel.de
09674-e2,Hofheim,BY,LRA Haßberge Nebenstelle,97461,Hofheim (Ufr),Obere Sennigstr. 4,09523-7829,zulassung.hofheim@lra-has.bayern.de
06436-,Hofheim am Taunus,HE,LK Main-Taunus-Kreis,65719,Hofheim am Taunus,In den Nassen 2,06192-205-0,strassenverkehrsamt@mtk.org
09475-,Hof(Land),BY,LRA Hof,95032,Hof,Schaumbergstr. 14,09281-57-0,zulassung@lra-ho.bayern.de
09464-,Hof(Stadt),BY,Stadt Hof,95032,Hof,Erlhofer Str. 75,09281-815-0,verkehrsaufsicht@hof.bayern.de
01058-e3,Hohenwestedt,SH,LK Rendsburg-Eckernförde Nebenstelle,24594,Hohenwestedt,Am Markt 17,04871 36-5312,zulassungsbehoerde@kreis-rd.de
03255-,Holzminden,NI,LK Holzminden,37603,Holzminden,Rehwiese 35,05531-707-572,zulassung@landkreis-holzminden.de
06634-,Homberg/Efze,HE,LK Schwalm-Eder-Kreis,34576,Homberg/Efze,Hans-Scholl-Str. 1,05681-775-389,kfz-zulassungsbehoerde@schwalm-eder-kreis.de
10045-,Homburg,SL,LK Saarpfalz-Kreis,66424,Homburg,Am Forum 1,06841-104-7190,zulassung@saarpfalz-kreis.de
08237-e1,Horb a.N.,BW,LRA Freudenstadt Nebenstelle,72160,Horb am Neckar,Ihlinger Str. 79,07451-907-1750,kfz-zulassung@kreis-fds.de
05762-,Höxter,NW,LK Höxter,37671,Höxter,Moltkestr. 12,05271-965-1401,zulassung@kreis-hoexter.de
14625-e2,Hoyerswerda,SN,LK Bautzen Nebenstelle,02977,Hoyerswerda,Dillinger Str. 1,03571-4741-36241,kfz-zulassung@lra-bautzen.de
05374-e1,Hückeswagen,NW,LK Oberbergischer Kreis Nebenstelle,42499,Hückeswagen,Bahnhofstr. 14,02192-6263,info36a@obk.de
06631-e1,Hünfeld,HE,LK Fulda Nebenstelle,36088,Hünfeld,Am Anger 4,06652-181-15,zulassung-huenfeld@landkreis-fulda.de
05362-e1,Hürth,NW,LK Rhein-Erft-Kreis Nebenstelle,50354,Hürth,Hürth Park B100,02271-83-0,zulassung@rhein-erft-kreis.de
01054-,Husum,SH,LK Nordfriesland,25813,Husum,Marktstr. 6,04841-67-275,zulassung@nordfriesland.de
07134-1,Idar-Oberstein,RP,Stadt Idar-Oberstein,55743,Idar-Oberstein,Georg-Maus-Str. 1,0678164159,kfzzulassung@idar-oberstein.de
06439-e1,Idstein,HE,LK Rheingau-Taunus-Kreis Nebenstelle,65510,Idstein,Black- und Decker Str. 28,06126 2270-9238,zulassung@rheingau-taunus.de
09775-e1,Illertissen,BY,LRA Neu-Ulm Nebenstelle,89257,Illertissen,Ulmer Str. 20,07303-9644-0,zulassungsstelle@lra.neu-ulm.de
09161-,Ingolstadt,BY,Stadt Ingolstadt,85055,Ingolstadt,Wiechertstr. 1,0841-305-1790,Zulassungsstelle@ingolstadt.bayern.de
05962-e1,Iserlohn,NW,Märkischer Kreis Nebenstelle,58640,Iserlohn,Griesenbraucker Str. 6,02371-966-8611,buergerbuero-is@maerkischer-kreis.de
16053-,Jena,TH,Stadt Jena,07743,Jena,Engelplatz 1,03641-49-3800,kfz@jena.de
15091-e2,Jessen,ST,LK Wittenberg Nebenstelle,06917,Jessen,Markt 17-19,03491-479-600,strassenverkehrsamt@landkreis.wittenberg.de
03455-,Jever,NI,LK Friesland,26441,Jever,Am Bullhamm 13,04461-919-8787,zulassungsstelle@friesland.de
05358-e1,Jülich,NW,LK Düren Nebenstelle,52428,Jülich,Düsseldorfer Str. 6,02421-221030900,sva@kreis-dueren.de
07233-e1,Jünkerath,RP,LK Vulkaneifel Nebenstelle,54584,Jünkerath,Rathausplatz 1,06597-16-134,kfz-zulassung@vulkaneifel.de
07335-,Kaiserslautern,RP,LK Kaiserslautern,67657,Kaiserslautern,Lauterstr. 8,0631-7105-0,zulassungsbehoerde@kaiserslautern-kreis.de
07335-e1,Kaiserslautern(Land),RP,LK Kaiserslautern Nebenstelle,66849,Landstuhl,Bruchwiesenstr. 31,0631-7105-368,info@kaiserslautern-kreis.de
07312-,Kaiserslautern(Stadt),RP,Stadt Kaiserslautern,67663,Kaiserslautern,Merkurstr. 45,0631-365-2927,kraftfahrzeugwesen.kaiserslautern@poststelle.rlp.de
14625-,Kamenz,SN,LRA Bautzen,01917,Kamenz,Macherstr. 55,03591 5251 36290,kfz-zulassung@lra-bautzen.de
07334-e1,Kandel,RP,LK Germersheim Nebenstelle,76870,Kandel,Gartenstr. 8,07275-960-146,kreisverwaltung@kreis-germersheim.de
06440-e2,Karben,HE,LK Wetteraukreis Nebenstelle,61184,Karben,Sauerbornstr. 12-14,06039-931-451,-
08215-,Karlsruhe(Land),BW,LRA Karlsruhe,76133,Karlsruhe,Kriegsstr. 100,0721-936-78770,kfz.zulassung@landratsamt-karlsruhe.de
08212-,Karlsruhe(Stadt),BW,Stadt Karlsruhe,76135,Karlsruhe,Steinhäuserstr. 22,0721-133-3383,zulassungsstelle@oa.karlsruhe.de
09677-,Karlstadt,BY,LRA Main-Spessart,97753,Karlstadt,Marktplatz 8,09353-793-1433,Info@Lramsp.de
06633-,Kassel,HE,LK Kassel,34123,Kassel,Ölmühlenweg 4,0561-115,Kfz-zulassung@kassel.de
06611-,Kassel(Stadt),HE,Stadt Kassel,34123,Kassel,Ölmühlenweg 4,0561-787-787,Kfz-zulassung@kassel.de
09762-,Kaufbeuren,BY,Stadt Kaufbeuren,87600,Kaufbeuren,Am Graben 3,08341-437-320,zulassungsbehoerde@kaufbeuren.de
08317-e2,Kehl,BW,LRA Ortenaukreis Nebenstelle,77694,Kehl,Herderstr. 1,07851-9487-5200,zulassungsbehoerde@ortenaukreis.de
09273-,Kelheim,BY,LRA Kelheim,93309,Kelheim,Donaupark 12,09441-207-0,zulassungsstelle@lra-keh.bayern.de
09377-e1,Kemnath,BY,LRA Tirschenreuth Nebenstelle,95478,Kemnath,Stadtplatz 38,09642-70733,strassenverkehrsbehoerde@lra-tir.bayern.de
05166-e1,Kempen,NW,LK Viersen Nebenstelle,47906,Kempen,Heinrich-Horten-Str. 4b,02152-2052-0,zulassungsstelle@kreis-viersen.de
09763-,Kempten (Allgäu) Stadt,BY,Stadt Kempten,87435,Kempten (Allgäu),Bahnhofstr. 80,0831-2525-3400,buergerservice-zulassung@kempten.de
09780-e1,Kempten (LRA),BY,LRA Oberallgäu Nebenstelle,87435,Kempten,Bahnhofstr. 80,0831-2525-3400,buergerservice-zulassung@kempten.de
01002-,Kiel,SH,Stadt Kiel,24113,Kiel,Saarbrückenstr. 147,0431-901-2037,kfz-zulassung@kiel.de
07132-e1,Kirchen,RP,LK Altenkirchen Nebenstelle,57548,Kirchen-Sieg,Lindenstr. 1,02741-688-810,vg-kirchen@kirchen-sieg.de
07333-,Kirchheimbolanden,RP,LK Donnersbergkreis,67292,Kirchheimbolanden,Uhlandstr. 2,06352-710-230,zulassungsstelle@donnersberg.de
05512-e1,Kirchhellen,NW,Stadt Bottrop Nebenstelle,46244,Bottrop-Kirchhellen,Kirchhellener Ring 84-86,02045-9629-11,buergerbuero-kirchhellen@bottrop.de
07133-e1,Kirn,RP,LK Bad Kreuznach Nebenstelle,55606,Kirn,Bahnhofstr. 27,0671-803-1350,post@kreis-badkreuznach.de
09675-,Kitzingen,BY,LRA Kitzingen,97318,Kitzingen,Kaiserstr. 4,09321-928-4310,kfz@kitzingen.de
05154-,Kleve,NW,LK Kleve,47533,Kleve,Fleischhauerstr. 10,02821-85-521,strassenverkehr@kreis-kleve.de
07111-,Koblenz,RP,Stadt Koblenz,56073,Koblenz,Blücherstr. 40,0261-129-4420,zulassungsbehoerde@stadt.koblenz.de
05315-,Köln,NW,Stadt Köln,51105,Köln,Max-Glomsda-Str. 4,0221-221-26635,kfz-zulassung@stadt-koeln.de
08335-,Konstanz,BW,LK Konstanz,78467,Konstanz,Max-Stromeyer-Str. 47,07531-800-1955,zulassungsstellekonstanz@lrakn.de
06635-,Korbach,HE,LK Waldeck-Frankenberg,34497,Korbach,Südring 2,05631-954-128,verkehr@landkreis-waldeck-frankenberg.de
15082-,Köthen,ST,LK Anhalt-Bitterfeld,06366,Köthen (Anhalt),Am Flugplatz 1,03496-60 1947,zulassung@anhalt-bitterfeld.de
05114-,Krefeld,NW,Stadt Krefeld,47800,Krefeld,Elbestr. 7,02151-86463200,kfz-zulassung@krefeld.de
09476-,Kronach,BY,LRA Kronach,96317,Kronach,Güterstr. 18,09261-678-0,poststelle@lra-kc.bayern.de
09774-e1,Krumbach,BY,LRA Günzburg Nebenstelle,86370,Krumbach,Robert-Steiger-Str. 5,08282-889444,info@lra-gz.bayern.de
09477-,Kulmbach,BY,LRA Kulmbach,95326,Kulmbach,Konrad-Adenauer-Str. 5,09221-707-0,zulassung@Landkreis-Kulmbach.de
